,Name,Album,Artist
0,Zinda,Bhaag Milkha Bhaag,Siddharth Mahadevan
1,Sultan,Sultan,Sukhwinder Singh
2,Dangal,Dangal,Daler Mehndi
3,Apna Time Aayega,Gully Boy,Ranveer Singh
4,Kar Har Maidaan Fateh,Sanju,Sukhwinder Singh
5,Bhaag Milkha Bhaag,Bhaag Milkha Bhaag,Arif Lohar
6,Aarambh Hai Prachand,Gulaal,Piyush Mishra
7,Chak De India,Chak De India,Sukhwinder Singh
8,Bhaag DK Bose,Delhi Belly,Ram Sampath
9,Roobaroo Rang De Basanti,Rang De Basanti,A R Rahman
10,Rang De Basanti,Rang De Basanti,Daler Mehndi
11,Sadda Haq,Rockstar,Mohit Chauhan
12,Nadaan Parindey,Rockstar,A R Rahman
13,Kun Faya Kun,Rockstar,A R Rahman
14,Bhaag Milkha Bhaag,Bhaag Milkha Bhaag,Siddharth Mahadevan
15,Pad Man Title Track,Pad Man,Mika Singh
16,Malhari,Bajirao Mastani,Vishal Dadlani
17,Khalibali,Padmaavat,Shivam Pathak
18,Deva Shree Ganesha,Agneepath,Ajay Gogavale
19,Brothers Anthem,Brothers,Vishal Dadlani
20,Jai Ho,Slumdog Millionaire,Sukhwinder Singh
21,Challa,Jab Tak Hai Jaan,Rabbi Shergill
22,Bulleya,Ae Dil Hai Mushkil,Amit Mishra
23,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,Arijit Singh
24,Bekhayali,Kabir Singh,Sachet Tandon
25,Teri Mitti,Kesari,B Praak
26,Soorma Anthem,Soorma,Shankar Mahadevan
27,Ziddi Dil,Mary Kom,Vishal Dadlani
28,Get Ready To Fight,Baaghi,Benny Dayal
29,Ek Zindagi,Angrezi Medium,Tanishkaa Sanghvi
30,Manzar Naya,Rock On 2,Farhan Akhtar
31,Rock On!!,Rock On!!,Farhan Akhtar
32,Senorita,ZNMD,Farhan Akhtar
33,Ik Junoon,ZNMD,Vishal Dadlani
34,Jagga Jiteya,Uri: The Surgical Strike,Daler Mehndi
35,Challa,Uri,Romesh Ranganathan
36,Bhar Do Jholi Meri,Bajrangi Bhaijaan,Adnan Sami
37,Selfie Le Le Re,Bajrangi Bhaijaan,Vishal Dadlani
38,Satyameva Jayate,Satyameva Jayate,Keerthi Sagathia
39,Desh Mere,Bhuj,Arijit Singh
40,Shiv Tandav,Single,Shankar Mahadevan
41,Hanuman Chalisa,Single,Hariharan
42,Khoon Choos Le,Go Goa Gone,Suraj Jagan
43,Emotional Atyachaar,Dev.D,Amit Trivedi
44,Paintra,Mukkabaaz,Nucleya
45,Mukka Maar,Mukkabaaz,Divine
46,Jhanda Uncha Rahe Hamara,Patriotic,Various
47,Azadi,Gully Boy,Divine
48,Mere Gully Mein,Gully Boy,Divine
49,Doori,Gully Boy,Ranveer Singh
50,Asli Hip Hop,Gully Boy,Ranveer Singh
51,Bandeya,Raazi,Arijit Singh
52,Aazaadiyan,Udaan,Amit Trivedi
53,Naav,Udaan,Mohan Kannan
54,Udaan (Title),Udaan,Amit Trivedi
55,Allah Ke Bande,Kailash Kher,Kailash Kher
56,Teri Deewani,Kailasa,Kailash Kher
57,Bam Bam Bhole,Single,Vishal Dadlani
58,Shankara,Shivay,Ajay Gogavale
59,Raavan Theme,Raavan,A R Rahman
60,Rakta Charitra Theme,Rakta Charitra,Dharam-Sandeep
61,Agneepath (Theme),Agneepath,Ajay-Atul
62,Tanhaji Title Track,Tanhaji,Sukhwinder Singh
63,Ghamand Kar,Tanhaji,Sachet Tandon
64,Shershaah Theme,Shershaah,Jubin Nautiyal
65,Ranjha (Power),Shershaah,Jasleen Royal
66,Kesari Theme,Kesari,Arko
67,Bharat (Title),Manikarnika,Shankar Mahadevan
68,Vijayi Bhava,Manikarnika,Shankar Mahadevan
69,Hindustani,Street Dancer 3D,Shankar Mahadevan
70,Bezubaan ABCD,ABCD,Mohit Chauhan
71,Sun Saathiya,ABCD 2,Priya Saraiya
72,Muqabla,Street Dancer 3D,Yash Narvekar
73,Garmi,Street Dancer 3D,Badshah
74,Illegal Weapon,Street Dancer 3D,Jasmine Sandlas
75,Malang (Title),Malang,Ved Sharma
76,Hamraah,Malang,Sachet Tandon
77,Phir Se Udd Chala,Rockstar,Mohit Chauhan
78,Tum Ho,Rockstar,Mohit Chauhan
79,Jo Bheji Thi Dua,Shanghai,Arijit Singh
80,Alvida,Life in a Metro,KK
81,O Re Piya,Aaja Nachle,Rahat Fateh Ali Khan
82,Mitwa,Kabhi Alvida Naa Kehna,Shankar Mahadevan
83,Kal Ho Naa Ho,Kal Ho Naa Ho,Sonu Nigam
84,Abhi Mujh Mein Kahin,Agneepath,Sonu Nigam
85,Maula Mere Maula,Anwar,Roop Kumar Rathod
86,Saibo,Shor in the City,Shreya Ghoshal
87,Tum Se Hi,Jab We Met,Mohit Chauhan
88,Agar Tum Saath Ho,Tamasha,Alka Yagnik
89,Matargashti,Tamasha,Mohit Chauhan
90,Khairiyat,Chhichhore,Arijit Singh
91,Tera Fitoor,Genius,Arijit Singh
92,Main Rahoon Ya Na Rahoon,Single,Armaan Malik
93,Tera Zikr,Single,Darshan Raval
94,Zaroori Tha,Single,Rahat Fateh Ali Khan
95,Raaz Aankhein Teri,Raaz Reboot,Arijit Singh
96,Lo Maan Liya,Raaz Reboot,Arijit Singh
97,Yaad Hai Na,Raaz Reboot,Arijit Singh
98,Muskurane,CityLights,Arijit Singh
99,Saware,Phantom,Arijit Singh
