Unnamed: 0,Name,Album,Artist
0,Namak Haraam,Om Shanti Om,Vishal Dadlani
1,Aarambh Hai Prachand,Gulaal,Piyush Mishra
2,Ik Bagal,Gangs of Wasseypur,Piyush Mishra
3,Maula Mere Maula,Anwar,Roop Kumar Rathod
4,Alvida,Life in a Metro,KK
5,Bhaag DK Bose (Reprise),Delhi Belly,Ram Sampath
6,Bhaag DK Bose,Delhi Belly,Ram Sampath
7,Emotional Atyachaar,Dev.D,Amit Trivedi
8,Pareshan,Ishaqzaade,Shalmali Kholgade
9,Chingari Koi Bhadke,Amar Prem,Kishore Kumar
10,Ye Duniya Agar Mil Bhi Jaye,Pyaasa,Mohammed Rafi
11,Jiyein Kyun,Dum Maaro Dum,Papon
12,Bekhayali,Kabir Singh,Sachet Tandon
13,Tadap Tadap,Hum Dil De Chuke Sanam,KK
14,Main Dhoondne Ko Zamaane Mein,Heartless,Arijit Singh
15,Phir Le Aaya Dil,Barfi,Arijit Singh
16,Ae Dil Hai Mushkil (Title),Ae Dil Hai Mushkil,Arijit Singh
17,Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh
18,Jag Soona Soona Lage,Om Shanti Om,Rahat Fateh Ali Khan
19,Dooriyan,Love Aaj Kal,Mohit Chauhan
20,Saibo,Shor in the City,Shreya Ghoshal
21,Teri Galliyan,Ek Villain,Ankit Tiwari
22,Humdard,Ek Villain,Arijit Singh
23,Awari,Ek Villain,Adnan Dhool
24,Tu Hai Ki Nahi,Roy,Ankit Tiwari
25,Boond Boond,Roy,Ankit Tiwari
26,Khamoshiyan (Title),Khamoshiyan,Arijit Singh
27,Baatein Ye Kabhi Na,Khamoshiyan,Arijit Singh
28,Tu Har Lamha,Khamoshiyan,Arijit Singh
29,Phir Mohabbat,Murder 2,Arijit Singh
30,Aadat,Kalyug,Atif Aslam
31,Woh Lamhe,Woh Lamhe,Atif Aslam
32,Tu Jaane Na,Ajab Prem Ki Ghazab Kahani,Atif Aslam
33,Pehli Nazar Mein,Race,Atif Aslam
34,Be Intehaan,Race 2,Atif Aslam
35,Tu Hi Haqeeqat,Tum Mile,Javed Ali
36,Dil Ibaadat,Tum Mile,KK
37,Guzaarish,Ghajini,Javed Ali
38,Kaise Mujhe,Ghajini,Benny Dayal
39,O Re Piya,Aaja Nachle,Rahat Fateh Ali Khan
40,Tum Ho,Rockstar,Mohit Chauhan
41,Nadaan Parindey,Rockstar,A R Rahman
42,Phir Se Ud Chala,Rockstar,Mohit Chauhan
43,Kun Faya Kun,Rockstar,A R Rahman
44,Aayat,Bajirao Mastani,Arijit Singh
45,Laal Ishq,Ram-Leela,Arijit Singh
46,Deewani Mastani (Sad),Bajirao Mastani,Shreya Ghoshal
47,Kal Ho Naa Ho,Kal Ho Naa Ho,Sonu Nigam
48,Abhi Mujh Mein Kahin,Agneepath,Sonu Nigam
49,Mitwa,Kabhi Alvida Naa Kehna,Shankar Mahadevan
50,Tere Bina,Guru,A R Rahman
51,Tum Tak,Raanjhanaa,Javed Ali
52,Tum Se Hi,Jab We Met,Mohit Chauhan
53,Agar Tum Saath Ho,Tamasha,Alka Yagnik
54,Matargashti (Slow),Tamasha,Mohit Chauhan
55,Khairiyat,Chhichhore,Arijit Singh
56,Tera Fitoor,Genius,Arijit Singh
57,Main Rahoon Ya Na Rahoon,Single,Armaan Malik
