Unnamed: 0,Name,Album,Artist
0,Lag Ja Gale,Woh Kaun Thi,Lata Mangeshkar
1,Aami Je Tomar,Bhool Bhulaiyaa,Shreya Ghoshal
2,Naina,Dangal,Arijit Singh
3,Raat Ka Nasha,Asoka,Chitra
4,Bhoot Hoon Main,Bhoot,Sunidhi Chauhan
5,Kaun Hai Woh,Baahubali,Kailash Kher
6,Aami Je Tomar,Bhool Bhulaiyaa,Shreya Ghoshal
7,Mere Dholna,Bhool Bhulaiyaa,Shreya Ghoshal
8,Raaz Aankhein Teri,Raaz Reboot,Arijit Singh
9,Main Dhoondne Ko Zamaane Mein,Heartless,Arijit Singh
10,Beech Beech Mein,Jab Harry Met Sejal,Arijit Singh
11,Jee Le Zara,Talaash,Vishal Dadlani
12,Muskaanein Jhooti Hai,Talaash,Suman Sridhar
13,Khoon Choos Le,Go Goa Gone,Suraj Jagan
14,Bas Ek Pal,Bas Ek Pal,KK
15,Phir Mohabbat,Murder 2,Arijit Singh
16,Maula Mere Maula,Anwar,Roop Kumar Rathod
17,Tu Hai Ki Nahi,Roy,Ankit Tiwari
18,Boond Boond,Roy,Ankit Tiwari
19,Awari,Ek Villain,Adnan Dhool
20,Humdard,Ek Villain,Arijit Singh
21,Teri Galliyan,Ek Villain,Ankit Tiwari
22,Khamoshiyan,Khamoshiyan,Arijit Singh
23,Baatein Ye Kabhi Na,Khamoshiyan,Arijit Singh
24,Tu Har Lamha,Khamoshiyan,Arijit Singh
25,Alvida,Life in a Metro,KK
26,Ranjha,Shershaah,Jasleen Royal
27,Raataan Lambiyan,Shershaah,Jubin Nautiyal
28,Nadaan Parindey,Rockstar,A R Rahman
29,Tum Ho,Rockstar,Mohit Chauhan
30,Phir Se Ud Chala (Dark),Rockstar,Mohit Chauhan
31,Kun Faya Kun (Dark),Rockstar,A R Rahman
32,Aayat (Dark),Bajirao Mastani,Arijit Singh
33,Laal Ishq (Dark),Ram-Leela,Arijit Singh
34,Deewani Mastani (Dark),Bajirao Mastani,Shreya Ghoshal
35,O Re Piya (Dark),Aaja Nachle,Rahat Fateh Ali Khan
36,Tum Mile (Dark),Tum Mile,Neeraj Shridhar
37,Dil Ibaadat (Dark),Tum Mile,KK
38,Guzaarish (Dark),Ghajini,Javed Ali
39,Kaise Mujhe (Dark),Ghajini,Benny Dayal
40,Sun Raha Hai (Sad Dark),Aashiqui 2,Ankit Tiwari
41,Bhula Dena (Dark),Aashiqui 2,Mustafa Zahid
42,Milne Hai Mujhse Aayi (Dark),Aashiqui 2,Arijit Singh
43,Aasan Nahin Yahan (Dark),Aashiqui 2,Arijit Singh
44,Chahun Main Ya Naa (Dark),Aashiqui 2,Arijit Singh
45,Tum Hi Ho (Dark),Aashiqui 2,Arijit Singh
46,Channa Mereya (Dark),Ae Dil Hai Mushkil,Arijit Singh
47,Ae Dil Hai Mushkil (Dark),Ae Dil Hai Mushkil,Arijit Singh
48,Phir Bhi Tumko Chaahunga (Dark),Half Girlfriend,Arijit Singh
49,Tera Ban Jaunga (Dark),Kabir Singh,Akhil Sachdeva
