Unnamed: 0,Name,Album,Artist
0,Senorita,Zindagi Na Milegi Dobara,Farhan Akhtar
1,Dil Chahta Hai (Title Track),Dil Chahta Hai,Shankar Mahadevan
2,Khaabon Ke Parinday,Zindagi Na Milegi Dobara,Mohit Chauhan
3,Love You Zindagi,Dear Zindagi,Jasleen Royal
4,Sooraj Ki Baahon Mein,Zindagi Na Milegi Dobara,Loy Mendonsa
5,Ude Dil Befikre,Befikre,Benny Dayal
6,Badtameez Dil,Yeh Jawaani Hai Deewani,Benny Dayal
7,Balam Pichkari,Yeh Jawaani Hai Deewani,Vishal Dadlani
8,Ilahi,Yeh Jawaani Hai Deewani,Arijit Singh
9,Subah Hone Na De,Desi Boyz,Mika Singh
10,Kar Gayi Chull,Kapoor & Sons,Badshah
11,Nachde Ne Saare,Baar Baar Dekho,Jasleen Royal
12,Gal Mitthi Mitthi Bol,Aisha,Tochi Raina
13,Radha,Student of the Year,Shreya Ghoshal
14,Disco Deewane,Student of the Year,Sunidhi Chauhan
15,Saturday Saturday,Humpty Sharma Ki Dulhania,Indeep Bakshi
16,Proper Patola,Namaste England,Badshah
17,Abhi Toh Party Shuru Hui Hai,Khoobsurat,Badshah
18,London Thumakda,Queen,Labh Janjua
19,Gallan Goodiyan,Dil Dhadakne Do,Yashita Sharma
20,Dilliwaali Girlfriend,Yeh Jawaani Hai Deewani,Arijit Singh
21,Tamma Tamma Again,Badrinath Ki Dulhania,Badshah
22,Sweety Tera Drama,Bareilly Ki Barfi,Dev Negi
23,Morni Banke,Badhaai Ho,Guru Randhawa
24,Sauda Khara Khara,Good Newwz,Sukhbir
25,Dil Chori,Sonu Ke Titu Ki Sweety,Yo Yo Honey Singh
26,Bom Diggy Diggy,Sonu Ke Titu Ki Sweety,Zack Knight
27,Main Tera Boyfriend,Raabta,Arijit Singh
28,Ik Vaari Aa (Dance),Raabta,Arijit Singh
29,Kamariya,Stree,Aastha Gill
30,Aankh Marey,Simmba,Neha Kakkar
31,Jai Jai Shivshankar,War,Vishal Dadlani
32,Ghungroo,War,Arijit Singh
33,Swag Se Swagat,Tiger Zinda Hai,Vishal Dadlani
34,Dil Diyan Gallan,Tiger Zinda Hai,Atif Aslam
35,Jeene Laga Hoon,Ramaiya Vastavaiya,Atif Aslam
36,Tera Hone Laga Hoon,Ajab Prem Ki Ghazab Kahani,Atif Aslam
37,Pehli Nazar Mein,Race,Atif Aslam
38,Tu Jaane Na,Ajab Prem Ki Ghazab Kahani,Atif Aslam
39,Be Intehaan,Race 2,Atif Aslam
40,Tera Naam Doon,Its Entertainment,Atif Aslam
41,Jeena Jeena,Badlapur,Atif Aslam
42,Tere Sang Yaara,Rustom,Atif Aslam
43,Raataan Lambiyan,Shershaah,Jubin Nautiyal
44,Ranjha,Shershaah,Jasleen Royal
45,Kesariya,Brahmastra,Arijit Singh
46,Deva Deva,Brahmastra,Arijit Singh
47,What Jhumka,Rocky Aur Rani Ki Prem Kahani,Arijit Singh
48,Show Me The Thumka,Tu Jhoothi Main Makkaar,Sunidhi Chauhan
49,Tere Pyaar Mein,Tu Jhoothi Main Makkaar,Arijit Singh
50,Tareefan,Veere Di Wedding,Badshah
51,Veere,Veere Di Wedding,Vishal Mishra
52,Laung Da Lashkara,Patiala House,Mahalakshmi Iyer
53,Desi Girl,Dostana,Shankar Mahadevan
54,Rock N Roll Soniye,Kabhi Alvida Naa Kehna,Shankar Mahadevan
55,Senorita (Reprise),ZNMD,Farhan Akhtar
56,Ik Junoon,ZNMD,Vishal Dadlani
57,Ainvayi Ainvayi,Band Baaja Baaraat,Salim Merchant
58,Selfie Le Le Re,Bajrangi Bhaijaan,Vishal Dadlani
59,Tu Chahiye,Bajrangi Bhaijaan,Atif Aslam
60,Main Rang Sharbaton Ka,Phata Poster Nikhla Hero,Atif Aslam
61,Tu Hi Hai,Dear Zindagi,Arijit Singh
62,Love You Zindagi (Club Mix),Dear Zindagi,Jasleen Royal
63,Ae Zindagi Gale Laga Le,Dear Zindagi,Arijit Singh
64,Khaabon Ke Parinday (Reprise),ZNMD,Mohit Chauhan
65,Phir Se Ud Chala,Rockstar,Mohit Chauhan
66,Patakha Guddi,Highway,Nooran Sisters
67,Maahi Ve,Highway,A R Rahman
68,Heer,Highway,A R Rahman
69,Subhanallah,YJHD,Sreeram Chandra
70,Kabira,YJHD,Tochi Raina
71,Ilahi (Reprise),YJHD,Arijit Singh
72,Ajab Si,Om Shanti Om,KK
