Unnamed: 0,Name,Album,Artist
0,Iktara,Wake Up Sid,Kavita Seth
1,Rutba,Rutba,Satinder Sartaaj
2,Phir Le Aaya Dil (Reprise),Barfi,Arijit Singh
3,Kasoor,Prateek Kuhad (Single),Prateek Kuhad
4,Kho Gaye Hum Kahan,Baar Baar Dekho,Jasleen Royal
5,Rubaroo,Rang De Basanti,A R Rahman
6,Tu Bin Bataye,Rang De Basanti,Madhushree
7,Saibo,Shor in the City,Shreya Ghoshal
8,Khuda Jaane,Bachna Ae Haseeno,KK
9,Jeene Laga Hoon,Ramaiya Vastavaiya,Atif Aslam
10,Tera Hone Laga Hoon,Ajab Prem Ki Ghazab Kahani,Atif Aslam
11,Raabta,Agent Vinod,Arijit Singh
12,Subhanallah,Yeh Jawaani Hai Deewani,Sreeram Chandra
13,Kabira,Yeh Jawaani Hai Deewani,Tochi Raina
14,Ilahi,Yeh Jawaani Hai Deewani,Arijit Singh
15,Ae Zindagi Gale Laga Le,Dear Zindagi,Arijit Singh
16,Love You Zindagi,Dear Zindagi,Jasleen Royal
17,Tu Hi Hai,Dear Zindagi,Arijit Singh
18,Phir Se Ud Chala,Rockstar,Mohit Chauhan
19,Tum Ho,Rockstar,Mohit Chauhan
20,Kun Faya Kun,Rockstar,A R Rahman
21,Patakha Guddi,Highway,Nooran Sisters
22,Maahi Ve,Highway,A R Rahman
23,Heer,Highway,A R Rahman
24,Khaabon Ke Parinday,Zindagi Na Milegi Dobara,Mohit Chauhan
25,Senorita,Zindagi Na Milegi Dobara,Farhan Akhtar
26,Dil Dhadakne Do,Dil Dhadakne Do,Priyanka Chopra
27,Gallan Goodiyan,Dil Dhadakne Do,Yashita Sharma
28,Agar Tum Saath Ho (Soft),Tamasha,Alka Yagnik
29,Matargashti (Soft),Tamasha,Mohit Chauhan
30,Channa Mereya (Soft),Ae Dil Hai Mushkil,Arijit Singh
31,Gerua,Dilwale,Arijit Singh
32,Janam Janam,Dilwale,Arijit Singh
33,Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva
34,Kaise Hua,Kabir Singh,Vishal Mishra
35,Bekhayali (Soft),Kabir Singh,Sachet Tandon
36,Tere Sang Yaara,Rustom,Atif Aslam
37,Sanam Re,Sanam Re,Arijit Singh
38,Hua Hain Aaj Pehli Baar,Sanam Re,Armaan Malik
39,Khairiyat,Chhichhore,Arijit Singh
40,Tera Fitoor,Genius,Arijit Singh
41,Bol Do Na Zara,Azhar,Armaan Malik
42,Main Rahoon Ya Na Rahoon,Single,Armaan Malik
43,Tera Zikr,Single,Darshan Raval
44,Raataan Lambiyan,Shershaah,Jubin Nautiyal
45,Ranjha,Shershaah,Jasleen Royal
46,Shayad,Love Aaj Kal,Arijit Singh
47,Haan Main Galat,Love Aaj Kal,Arijit Singh
48,Dooriyan,Love Aaj Kal,Mohit Chauhan
49,Aaj Din Chadheya,Love Aaj Kal,Rahat Fateh Ali Khan
50,Ajab Si,Om Shanti Om,KK
51,Tum Se Hi,Jab We Met,Mohit Chauhan
52,Nazm Nazm,Bareilly Ki Barfi,Arko
53,Baarish,Half Girlfriend,Ash King
54,Tum Mile,Tum Mile,Neeraj Shridhar
55,Guzaarish,Ghajini,Javed Ali
56,Kaise Mujhe,Ghajini,Benny Dayal
57,Be Intehaan,Race 2,Atif Aslam
58,Pehli Nazar Mein,Race,Atif Aslam
59,Tu Jaane Na,Ajab Prem Ki Ghazab Kahani,Atif Aslam
60,Aadat,Kalyug,Atif Aslam
61,O Saathi,Baaghi 2,Atif Aslam
62,Dil Diyan Gallan,Tiger Zinda Hai,Atif Aslam
63,Jeena Jeena,Badlapur,Atif Aslam
64,Tu Hi Haqeeqat,Tum Mile,Javed Ali
65,Dil Ibaadat,Tum Mile,KK
66,O Re Piya,Aaja Nachle,Rahat Fateh Ali Khan
67,Maula Mere Maula,Anwar,Roop Kumar Rathod
68,Phir Mohabbat,Murder 2,Arijit Singh
69,Muskurane,CityLights,Arijit Singh
70,Saware,Phantom,Arijit Singh
71,Darkhaast,Shivaay,Arijit Singh
72,Raaz Aankhein Teri,Raaz Reboot,Arijit Singh
73,Naina,Dangal,Arijit Singh
74,Aayat,Bajirao Mastani,Arijit Singh
75,Laal Ishq,Goliyon Ki Raasleela Ram-Leela,Arijit Singh
76,Tum Tak,Raanjhanaa,Javed Ali
77,Tere Bina,Guru,A R Rahman
78,Mitwa,Kabhi Alvida Naa Kehna,Shankar Mahadevan
79,Kal Ho Naa Ho,Kal Ho Naa Ho,Sonu Nigam
80,Abhi Mujh Mein Kahin,Agneepath,Sonu Nigam
81,Saathi Rey,Kapoor & Sons,Arko
82,Phir Kabhi,M.S. Dhoni,Arijit Singh
83,Kaun Tujhe,M.S. Dhoni,Palak Muchhal
84,Jab Tak,M.S. Dhoni,Armaan Malik
85,Tera Naam Doon,Its Entertainment,Atif Aslam
86,Main Rang Sharbaton Ka,Phata Poster Nikhla Hero,Atif Aslam
87,Tu Chahiye,Bajrangi Bhaijaan,Atif Aslam
88,Chahun Main Ya Naa,Aashiqui 2,Arijit Singh
89,Sun Raha Hai,Aashiqui 2,Ankit Tiwari
90,Bhula Dena,Aashiqui 2,Mustafa Zahid
91,Aasan Nahin Yahan,Aashiqui 2,Arijit Singh
92,Milne Hai Mujhse Aayi,Aashiqui 2,Arijit Singh
93,Jo Bheji Thi Dua,Shanghai,Arijit Singh
94,Alvida,Life in a Metro,KK
95,Zara Zara,Rehnaa Hai Terre Dil Mein,Bombay Jayashri
96,Tum Bin,Tum Bin,Chitra
97,Woh Lamhe,Woh Lamhe,Atif Aslam
98,Challa,Jab Tak Hai Jaan,Rabbi Shergill
