Unnamed: 0,Name,Album,Artist
0,Channa Mereya,Ae Dil Hai Mushkil,Arijit Singh
1,Tum Hi Ho,Aashiqui 2,Arijit Singh
2,Agar Tum Saath Ho,Tamasha,Alka Yagnik
3,Phir Bhi Tumko Chaahunga,Half Girlfriend,Arijit Singh
4,Tujhe Bhula Diya,Anjaana Anjaani,Mohit Chauhan
5,Hamari Adhuri Kahani,Hamari Adhuri Kahani,Arijit Singh
6,Raabta,Agent Vinod,Arijit Singh
7,Sun Raha Hai,Aashiqui 2,Ankit Tiwari
8,Milne Hai Mujhse Aayi,Aashiqui 2,Arijit Singh
9,Abhi Mujh Mein Kahin,Agneepath,Sonu Nigam
10,Kal Ho Naa Ho,Kal Ho Naa Ho,Sonu Nigam
11,Tadap Tadap,Hum Dil De Chuke Sanam,KK
12,Bhula Dena,Aashiqui 2,Mustafa Zahid
13,Phir Le Aaya Dil,Barfi,Arijit Singh
14,Ae Dil Hai Mushkil (Title),Ae Dil Hai Mushkil,Arijit Singh
15,Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva
16,Bekhayali,Kabir Singh,Sachet Tandon
17,Kaise Hua,Kabir Singh,Vishal Mishra
18,Zaroori Tha,Single,Rahat Fateh Ali Khan
19,Main Rahoon Ya Na Rahoon,Single,Armaan Malik
20,Tera Zikr,Single,Darshan Raval
21,Jeene Laga Hoon,Ramaiya Vastavaiya,Atif Aslam
22,Tera Hone Laga Hoon,Ajab Prem Ki Ghazab Kahani,Atif Aslam
23,Dooriyan,Love Aaj Kal,Mohit Chauhan
24,Kun Faya Kun,Rockstar,A R Rahman
25,Tum Se Hi,Jab We Met,Mohit Chauhan
26,Saibo,Shor in the City,Shreya Ghoshal
27,Aayat,Bajirao Mastani,Arijit Singh
28,Laal Ishq,Goliyon Ki Raasleela Ram-Leela,Arijit Singh
29,Janam Janam,Dilwale,Arijit Singh
30,Gerua,Dilwale,Arijit Singh
31,Tera Yaar Hoon Main,Sonu Ke Titu Ki Sweety,Arijit Singh
32,Yaad Hai Na,Raaz Reboot,Arijit Singh
33,Lo Maan Liya,Raaz Reboot,Arijit Singh
34,Ishq Mubarak,Tum Bin 2,Arijit Singh
35,Salamat,Sarbjit,Arijit Singh
36,Bol Do Na Zara,Azhar,Armaan Malik
37,Wajah Tum Ho,Hate Story 3,Armaan Malik
38,Dil Ke Paas,Wajah Tum Ho,Arijit Singh
39,Teri Galliyan,Ek Villain,Ankit Tiwari
40,Humdard,Ek Villain,Arijit Singh
41,Awari,Ek Villain,Adnan Dhool
42,Phir Kabhi,M.S. Dhoni,Arijit Singh
43,Kaun Tujhe,M.S. Dhoni,Palak Muchhal
44,Jab Tak,M.S. Dhoni,Armaan Malik
45,Tu Hai Ki Nahi,Roy,Ankit Tiwari
46,Boond Boond,Roy,Ankit Tiwari
47,Khairiyat,Chhichhore,Arijit Singh
48,Tera Fitoor,Genius,Arijit Singh
49,Hasi (Female),Hamari Adhuri Kahani,Shreya Ghoshal
50,Hasi (Male),Hamari Adhuri Kahani,Ami Mishra
51,Jag Soona Soona Lage,Om Shanti Om,Rahat Fateh Ali Khan
52,Main Dhoondne Ko Zamaane Mein,Heartless,Arijit Singh
53,Aasan Nahin Yahan,Aashiqui 2,Arijit Singh
54,Chhod Diya,Baazaar,Arijit Singh
55,Dil Diyan Gallan,Tiger Zinda Hai,Atif Aslam
56,Jeena Jeena,Badlapur,Atif Aslam
57,Tera Naam Doon,Its Entertainment,Atif Aslam
58,Pehli Nazar Mein,Race,Atif Aslam
59,Tu Jaane Na,Ajab Prem Ki Ghazab Kahani,Atif Aslam
60,Aadat,Kalyug,Atif Aslam
61,Tum Mile (Love Reprise),Tum Mile,Javed Ali
62,Guzaarish,Ghajini,Javed Ali
63,Kaise Mujhe,Ghajini,Benny Dayal
64,Luka Chuppi,Rang De Basanti,Lata Mangeshkar
65,O Saathi,Baaghi 2,Atif Aslam
66,Baarish,Half Girlfriend,Ash King
67,Naina,Dangal,Arijit Singh
68,Tere Sang Yaara,Rustom,Atif Aslam
69,Sanam Re,Sanam Re,Arijit Singh
70,Hua Hain Aaj Pehli Baar,Sanam Re,Armaan Malik
71,Kabira (Encore),Yeh Jawaani Hai Deewani,Arijit Singh
72,Ilahi (Sad Version),Yeh Jawaani Hai Deewani,Arijit Singh
73,Phir Mohabbat,Murder 2,Arijit Singh
74,Tum Ho,Ranbir Kapoor (Rockstar),Mohit Chauhan
75,Sadda Haq,Rockstar,Mohit Chauhan
76,Agar Tum Mil Jao,Zeher,Shreya Ghoshal
77,Woh Lamhe,Woh Lamhe,Atif Aslam
78,Tum Bin,Tum Bin,Chitra
79,Kyon,Barfi,Papon
80,Dil Ibaadat,Tum Mile,KK
81,Zara Zara,Rehnaa Hai Terre Dil Mein,Bombay Jayashri
82,Alvida,Life in a Metro,KK
83,O Re Piya,Aaja Nachle,Rahat Fateh Ali Khan
84,Maahi,Raaz 2,Toshi Sabri
85,Saiyaara,Ek Tha Tiger,Mohit Chauhan
86,Tum Tak,Raanjhanaa,Javed Ali
87,Tu Chahiye,Bajrangi Bhaijaan,Atif Aslam
88,Main Rang Sharbaton Ka,Phata Poster Nikhla Hero,Atif Aslam
89,Be Intehaan,Race 2,Atif Aslam
90,Tu Hi Haqeeqat,Tum Mile,Javed Ali
91,Phir Se Udd Chala,Rockstar,Mohit Chauhan
92,Nadaan Parindey,Rockstar,A R Rahman
93,Jo Bheji Thi Dua,Shanghai,Arijit Singh
94,Chahun Main Ya Naa,Aashiqui 2,Arijit Singh
95,Muskurane,CityLights,Arijit Singh
96,Saware,Phantom,Arijit Singh
97,Darkhaast,Shivaay,Arijit Singh
98,Raaz Aankhein Teri,Raaz Reboot,Arijit Singh
99,Tera Ban Jaunga (Reprise),Kabir Singh,Akhil Sachdeva
