Unnamed: 0,Name,Album,Artist
0,Matargashti,Tamasha,Mohit Chauhan
1,Radha,Student of the Year,Shreya Ghoshal
2,Gal Mitthi Mitthi Bol,Aisha,Tochi Raina
3,Drama Queen,Hasee Toh Phasee,Vishal Dadlani
4,Abhi Toh Party Shuru Hui Hai,Khoobsurat,Badshah
5,Nagada Sang Dhol,Goliyon Ki Raasleela Ram-Leela,Shreya Ghoshal
6,Balam Pichkari,Yeh Jawaani Hai Deewani,Vishal Dadlani
7,Malhari,Bajirao Mastani,Vishal Dadlani
8,London Thumakda,Queen,Labh Janjua
9,Kar Gayi Chull,Kapoor & Sons,Badshah
10,Cutiepie,Ae Dil Hai Mushkil,Pardeep Singh Sran
11,Bom Diggy Diggy,Sonu Ke Titu Ki Sweety,Zack Knight
12,Swag Se Swagat,Tiger Zinda Hai,Vishal Dadlani
13,Slow Motion,Bharat,Nakash Aziz
14,First Class,Kalank,Arijit Singh
15,Tamma Tamma Again,Badrinath Ki Dulhania,Badshah
16,Saturday Saturday,Humpty Sharma Ki Dulhania,Indeep Bakshi
17,Proper Patola,Namaste England,Badshah
18,Dilbar,Satyameva Jayate,Neha Kakkar
19,O Saki Saki,Batla House,Neha Kakkar
20,Sheila Ki Jawani,Tees Maar Khan,Sunidhi Chauhan
21,Chikni Chameli,Agneepath,Shreya Ghoshal
22,Munni Badnaam Hui,Dabangg,Mamta Sharma
23,Fevicol Se,Dabangg 2,Mamta Sharma
24,Anarkali Disco Chali,Housefull 2,Mamta Sharma
25,Baby Doll,Ragini MMS 2,Kanika Kapoor
26,Chittiyaan Kalaiyaan,Roy,Kanika Kapoor
27,Desi Girl,Dostana,Shankar Mahadevan
28,Rock N Roll Soniye,Kabhi Alvida Naa Kehna,Shankar Mahadevan
29,Dilliwaali Girlfriend,Yeh Jawaani Hai Deewani,Arijit Singh
30,Subah Hone Na De,Desi Boyz,Mika Singh
31,Party On My Mind,Race 2,KK
32,Lat Lag Gayee,Race 2,Benny Dayal
